query,rank,doc_id,scope,chapter,article,article_title,chunk_type,similarity,text
legal_term,1,ai-trust-basic-act-20676-main-article-31,본칙,제4장 인공지능윤리 및 신뢰성 확보,제31조,인공지능 투명성 확보 의무,article,0.454,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제31조(인공지능 투명성 확보 의무)
① 인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품 또는 서비스를 제공하려는 경우 제품 또는 서비스가 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지하여야 한다.
② 인공지능사업자는 생성형 인공지능 또는 이를 이용한 제품 또는 서비스를 제공하는 경우 그 결과물이 생성형 인공지능에 의하여 생성되었다는 사실을 표시하여야 한다.
③ 인공지능사업자는 인공지능시스템을 이용하여 실제와 구분하기 어려운 가상의 음향, 이미지 또는 영상 등의 결과물을 제공하는 경우 해당 결과물이 인공지능시스템에 의하여 생성되었다는 사실을 이용자가 명확하게 인식할 수 있는 방식으로 고지 또는 표시하여야 한다. 이 경우 해당 결과물이 예술적ㆍ창의적 표현물에 해당하거나 그 일부를 구성하는 경우에는 전시 또는 향유 등을 저해하지 아니하는 방식으로 고지 또는 표시할 수 있다.
④ 그 밖에 제1항에 따른 사전고지, 제2항에 따른 표시, 제3항에 따른 고지 또는 표시의 방법 및 그 예외 등에 관하여 필요한 사항은 대통령령으로 정한다."
legal_term,2,ai-trust-basic-act-20676-main-article-2-part-05,본칙,제1장 총칙,제2조,정의,item,0.4371,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
5. “생성형 인공지능”이란 입력한 데이터(「데이터 산업진흥 및 이용촉진에 관한 기본법」 제2조제1호에 따른 데이터를 말한다. 이하 같다)의 구조와 특성을 모방하여 글, 소리, 그림, 영상, 그 밖의 다양한 결과물을 생성하는 인공지능시스템을 말한다."
legal_term,3,ai-trust-basic-act-20676-main-article-2-part-02,본칙,제1장 총칙,제2조,정의,item,0.4365,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
2. “인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다."
legal_term,4,ai-trust-basic-act-20676-main-article-22-2-part-05,본칙,제3장 인공지능기술 개발 및 산업 육성,제22조의2,인공지능연구소의 설립 및 지원 등,paragraph,0.4302,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제3장 인공지능기술 개발 및 산업 육성
제22조의2(인공지능연구소의 설립 및 지원 등)
⑤ 인공지능연구소는 업종별ㆍ기능별로 다음 각 호의 사업을 수행한다.
1. 인공지능기술 연구개발
2. 인공지능기술과 다른 기술 및 학제 간 융합에 관한 연구개발
3. 인공지능기술 연구개발 성과 관리ㆍ이전ㆍ활용 및 사업화
4. 인공지능기술 연구개발 전문인력 양성
5. 인공지능기술 연구개발 관련 국제교류ㆍ국제협력
6. 그 밖에 인공지능기술 연구개발에 필요한 사항"
legal_term,5,ai-trust-basic-act-20676-main-article-2-part-12,본칙,제1장 총칙,제2조,정의,item,0.4268,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
12. “학습용데이터”란 인공지능의 개발ㆍ활용 등에 사용되는 데이터를 말한다.
[시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분"
common_term,1,ai-trust-basic-act-20676-main-article-2-part-05,본칙,제1장 총칙,제2조,정의,item,0.3751,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
5. “생성형 인공지능”이란 입력한 데이터(「데이터 산업진흥 및 이용촉진에 관한 기본법」 제2조제1호에 따른 데이터를 말한다. 이하 같다)의 구조와 특성을 모방하여 글, 소리, 그림, 영상, 그 밖의 다양한 결과물을 생성하는 인공지능시스템을 말한다."
common_term,2,ai-trust-basic-act-20676-main-article-2-part-02,본칙,제1장 총칙,제2조,정의,item,0.3715,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
2. “인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다."
common_term,3,ai-trust-basic-act-20676-main-article-2-part-12,본칙,제1장 총칙,제2조,정의,item,0.3585,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
12. “학습용데이터”란 인공지능의 개발ㆍ활용 등에 사용되는 데이터를 말한다.
[시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분"
common_term,4,ai-trust-basic-act-20676-main-article-2-part-01,본칙,제1장 총칙,제2조,정의,item,0.3564,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
1. “인공지능”이란 학습, 추론, 지각, 판단, 언어의 이해 등 인간이 가진 지적 능력을 전자적 방법으로 구현한 것을 말한다."
common_term,5,ai-trust-basic-act-20676-main-article-2-part-09,본칙,제1장 총칙,제2조,정의,item,0.3508,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
9. “영향받는 자”란 인공지능제품 또는 인공지능서비스에 의하여 자신의 생명, 신체의 안전 및 기본권에 중대한 영향을 받는 자를 말한다."
without_filter,1,ai-trust-basic-act-20676-addendum-article-2,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제2조,이 법 시행을 위한 준비행위,article,0.2914,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제2조(이 법 시행을 위한 준비행위)
이 법을 시행하기 위하여 필요한 위원회 위원의 위촉, 분과위원회, 특별위원회, 자문단 및 지원단의 구성 등은 이 법 시행 전에 할 수 있다."
without_filter,2,ai-trust-basic-act-20676-addendum-article-1,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제1조,시행일,article,0.2876,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제1조(시행일)
이 법은 공포 후 1년이 경과한 날부터 시행한다. 다만, 제2조제4호라목 중 디지털의료기기에 관한 부분은 2026년 1월 24일부터 시행한다."
without_filter,3,ai-trust-basic-act-20676-addendum-article-3,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제3조,전담기관에 관한 특례,article,0.2289,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제3조(전담기관에 관한 특례)
이 법 시행 당시 제23조제1항에 따른 집적화를 지역에 효과적으로 정착시키기 위하여 정부로부터 관련 예산을 지원받아 운영 중인 기관 중 조직, 인력 등 대통령령으로 정하는 요건을 충족한 기관은 제23조제4항에도 불구하고 이 법에 따라 전담기관으로 지정된 것으로 본다."
without_filter,4,ai-trust-basic-act-20676-main-article-12,본칙,제2장 인공지능의 건전한 발전과 신뢰 기반 조성을 위한 추진체계,제12조,인공지능안전연구소,article,0.2252,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제2장 인공지능의 건전한 발전과 신뢰 기반 조성을 위한 추진체계
제12조(인공지능안전연구소)
① 과학기술정보통신부장관은 인공지능과 관련하여 발생할 수 있는 위험으로부터 국민의 생명ㆍ신체ㆍ재산 등을 보호하고 인공지능사회의 신뢰 기반을 유지하기 위한 상태(이하 “인공지능안전”이라 한다)를 확보하기 위한 업무를 전문적이고 효율적으로 수행하기 위하여 인공지능안전연구소(이하 “안전연구소”라 한다)를 운영할 수 있다.
② 안전연구소는 다음 각 호의 사업을 수행한다.
1. 인공지능안전 관련 위험 정의 및 분석
2. 인공지능안전 정책 연구
3. 인공지능안전 평가 기준ㆍ방법 연구
4. 인공지능안전 기술 및 표준화 연구
5. 인공지능안전 관련 국제교류ㆍ국제협력
6. 제32조에 따른 인공지능시스템의 안전성 확보에 관한 지원
7. 그 밖에 인공지능안전에 관한 사업으로서 대통령령으로 정하는 사업
③ 정부는 안전연구소의 운영과 사업 추진 등에 필요한 경비를 예산의 범위에서 출연하거나 지원할 수 있다.
④ 그 밖에 안전연구소의 운영 등에 필요한 사항은 대통령령으로 정한다."
without_filter,5,ai-trust-basic-act-20676-main-article-32,본칙,제4장 인공지능윤리 및 신뢰성 확보,제32조,인공지능 안전성 확보 의무,article,0.2201,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제32조(인공지능 안전성 확보 의무)
① 인공지능사업자는 학습에 사용된 누적 연산량이 대통령령으로 정하는 기준 이상인 인공지능시스템의 안전성을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.
1. 인공지능 수명주기 전반에 걸친 위험의 식별ㆍ평가 및 완화
2. 인공지능 관련 안전사고를 모니터링하고 대응하는 위험관리체계 구축
② 인공지능사업자는 제1항 각 호에 따른 사항의 이행 결과를 과학기술정보통신부장관에게 제출하여야 한다.
③ 과학기술정보통신부장관은 제1항 각 호에 따른 사항의 구체적인 이행 방식 및 제2항에 따른 결과 제출 등에 필요한 사항을 정하여 고시하여야 한다."
addendum_only,1,ai-trust-basic-act-20676-addendum-article-2,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제2조,이 법 시행을 위한 준비행위,article,0.2914,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제2조(이 법 시행을 위한 준비행위)
이 법을 시행하기 위하여 필요한 위원회 위원의 위촉, 분과위원회, 특별위원회, 자문단 및 지원단의 구성 등은 이 법 시행 전에 할 수 있다."
addendum_only,2,ai-trust-basic-act-20676-addendum-article-1,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제1조,시행일,article,0.2876,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제1조(시행일)
이 법은 공포 후 1년이 경과한 날부터 시행한다. 다만, 제2조제4호라목 중 디지털의료기기에 관한 부분은 2026년 1월 24일부터 시행한다."
addendum_only,3,ai-trust-basic-act-20676-addendum-article-3,부칙,"부칙 <법률 제20676호, 2025. 1. 21.>",제3조,전담기관에 관한 특례,article,0.2288,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
부칙 | 부칙 <법률 제20676호, 2025. 1. 21.>
제3조(전담기관에 관한 특례)
이 법 시행 당시 제23조제1항에 따른 집적화를 지역에 효과적으로 정착시키기 위하여 정부로부터 관련 예산을 지원받아 운영 중인 기관 중 조직, 인력 등 대통령령으로 정하는 요건을 충족한 기관은 제23조제4항에도 불구하고 이 법에 따라 전담기관으로 지정된 것으로 본다."
